encrypted-vtbn2.gstatic.com 172.217.17.238
r1---sn-vh5ouxa-hju6.googlevideo.com 213.202.6.140
r1---sn-hju7en7k.googlevideo.com 74.125.167.71
r1---sn-4g5e6nzz.googlevideo.com 74.125.173.198
ssl.gstatic.com 172.217.17.227
r1---sn-25ge7nsd.googlevideo.com 173.194.183.230
r5---sn-vh5ouxa-hjuz.googlevideo.com 134.0.218.208
r2---sn-aigl6ned.googlevideo.com 173.194.183.71
r3---sn-hju7en7r.googlevideo.com 74.125.167.89
r5---sn-hju7en7k.googlevideo.com 74.125.167.75
r4---sn-hju7en7r.googlevideo.com 74.125.167.90
r3---sn-vgqsrnee.googlevideo.com 173.194.162.105
r4---sn-4g5edn7y.googlevideo.com 173.194.151.122
r1---sn-4g5edned.googlevideo.com 173.194.164.167
r5---sn-hju7en7r.googlevideo.com 74.125.167.91
r2---sn-vgqsrn7d.googlevideo.com 74.125.159.248
r3---sn-vh5ouxa-hjuz.googlevideo.com 134.0.218.206
r4---sn-4g5e6ns6.googlevideo.com 173.194.187.9
r2---sn-4g5edne6.googlevideo.com 173.194.164.152
r2---sn-hju7en7r.googlevideo.com 74.125.167.88
r4---sn-pmcg-bg0z.googlevideo.com 104.237.170.19
r2---sn-4g5e6nze.googlevideo.com 173.194.187.199
r3---sn-apn7en7e.googlevideo.com 74.125.4.104
r2---sn-f5f7lne6.googlevideo.com 172.217.133.71
r2---sn-vh5ouxa-hju6.googlevideo.com 213.202.6.141
r2---sn-4g5e6nlk.googlevideo.com 74.125.173.40
r2---sn-q4flrnle.googlevideo.com 172.217.131.103
s.ytimg.com 172.217.17.238
r3---sn-hju7en7k.googlevideo.com 74.125.167.73
r3---sn-4g5e6nsy.googlevideo.com 173.194.187.136
suggestqueries-clients6.youtube.com 216.58.212.14
r6---sn-4g5edned.googlevideo.com 173.194.164.172
r4---sn-4g5edns7.googlevideo.com 173.194.188.9
android.stackexchange.com 151.101.193.69
mrasadi.ir 168.119.5.188
my.telegram.org 149.154.167.99
mc.yandex.md 87.250.251.119
id.google.com 172.217.169.163
encrypted-vtbn1.gstatic.com 216.58.212.14
www.javatpoint.com 194.169.80.121
static.javatpoint.com 194.169.80.123
delivery.adrecover.com 205.234.175.175
cdn.adpushup.com 205.234.175.175
cse.google.com 216.58.206.206
app.pushbrothers.com 157.230.67.250
ajax.googleapis.com 172.217.169.202
e3.adpushup.com 23.97.225.52
www.googleapis.com 172.217.169.138
gum.criteo.com 178.250.2.146
adpushup-d.openx.net 34.98.64.218
tag.1rx.io 213.19.147.210
a.teads.tv 104.85.13.62
as-sec.casalemedia.com 23.57.87.114
ssc.33across.com 67.202.110.23
prebid-server.rubiconproject.com 35.156.99.27
search.spotxchange.com 198.54.12.96
fastlane.rubiconproject.com 69.173.144.140
bidder.criteo.com 178.250.2.131
static.criteo.net 178.250.0.130
match.adsrvr.org 34.252.253.152
ads.servenobid.com 52.210.177.43
bbs.archlinux.org 116.203.93.142
unix.stackexchange.com 151.101.65.69
r5---sn-4g5e6nsd.googlevideo.com 173.194.187.42
r5---sn-4g5ednse.googlevideo.com 173.194.188.42
www.proxy-list.download 104.21.12.127
use.fontawesome.com 23.111.9.35
i.imgur.com 151.101.120.193
